gene_target,disease,manifestation,role,n_supporting_papers,evidence_tier,n_fulltext_supported,n_fulltext_partial,n_fulltext_not_supported,n_papers_fulltext_read,n_papers_abstract_only,mechanism,study_system,manifestation_in_fulltext_differs,supporting_pmids,paper_access
MAPK1/3 (ERK1/2),NF1,Optic pathway glioma,driver,1,abstract only,0,0,0,0,1,RAS-mediated MEK-ERK/MAPK signaling drives pLGG formation,mouse model,,35419473,35419473:abstract_only
MARK2/3,Not specified,Other,therapeutic target,1,abstract only,0,0,0,1,0,"MARK2/3 phosphorylates NF2 and YAP/TAZ, reversing Hippo tumor suppression",cell line,,39058094,39058094:full_text
MCL1,Not specified,Other,modifier,1,abstract only,0,0,0,1,0,Destabilized by NAD depletion; relieves BAX repression,cell line,,41364765,41364765:full_text
MDM2,Not specified,Gastrointestinal stromal tumor (GIST),biomarker,1,abstract only,0,0,0,1,0,Amplification detected in lipomatous and GIST tumors,human tissue,,37921028,37921028:full_text
MDM2,NF1,Gastrointestinal stromal tumor (GIST),modifier,1,abstract only,0,0,0,0,1,MDM2 amplification associated with high-grade tumor progression and recurrence,human tissue,,41288319,41288319:abstract_only
ME1,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,Redundantly generates cytosolic NADPH with G6PD; reduced expression in NF2-mutant cells increases oxidation,cell line,,38879607,38879607:abstract_only
MET,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Cabozantinib inhibits MET and other tyrosine kinases; reduced PN size in mouse model,clinical trial,,33442015,33442015:abstract_only
MET,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,c-MET mediates HGF-induced EMT via PI3K/Akt/mTOR,cell line,,34408780,34408780:full_text
METTL14,Not specified,Hematologic malignancies,therapeutic target,1,abstract only,0,0,0,0,1,"m6A methyltransferase promotes HSPC hyperproliferation via autophagy gene regulation, driving Kras-mutant JMML",mouse model,,40819104,40819104:abstract_only
MIF,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Deregulated MIF-CD74 signaling and NF-κB pathway in NF1 SCs,mouse model,,36134665,36134665:abstract_only
MIR-612,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,"miR-612 promotion represses proliferation, migration; induces apoptosis",cell line,,31197610,31197610:abstract_only
MMP9,NF2-SWN,Vestibular schwannoma,biomarker,1,abstract only,0,0,0,0,1,"Secreted by schwannoma cells in response to TNF-α, promotes invasion and adhesion; plasma levels classify adherent VS",human tissue;mouse model,,38887507,38887507:abstract_only
MN1,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,MN1 gene alteration related to tumorigenesis of vRH-MPNST,human tissue,,33109559,33109559:abstract_only
MRVI1,NF1,Pulmonary disease,modifier,1,abstract only,0,0,0,1,0,Genetic modifier of moyamoya syndrome in NF1 patients,human tissue,,39367156,39367156:full_text
MSH2,Not specified,Meningioma,modifier,1,abstract only,0,0,0,0,1,MSH2 mutation associated with immunotherapy responsiveness,review,,36959063,36959063:abstract_only
MSH6,Not specified,Meningioma,modifier,1,abstract only,0,0,0,0,1,MSH6 mutation associated with immunotherapy responsiveness,review,,36959063,36959063:abstract_only
MST1/2,Not specified,Other,driver,1,abstract only,0,0,0,1,0,Hippo pathway component; deletion abrogates WNT5a tumor suppressive response,cell line,,36622276,36622276:full_text
MTAP,Not specified,Malignant peripheral nerve sheath tumor (MPNST),biomarker,1,abstract only,0,0,0,0,1,"Homozygous MTAP deletion, present in ~54% of MPNST PDX lines, predicts sensitivity to MTA-cooperative PRMT5 inhibitors",mouse model,,40553452,40553452:abstract_only
MTAP,NF1,ANNUBP / atypical neurofibroma,biomarker,1,abstract only,0,0,0,0,1,"Frequent loss in MPNST/ANNUBP correlates with increased PRMT5 expression/activity, stratifying patients for PRMT5-targeted therapy",human tissue,,41959302,41959302:abstract_only
MTAP,NF1,Malignant peripheral nerve sheath tumor (MPNST),biomarker,1,abstract only,0,0,0,0,1,"Frequent loss in MPNST/ANNUBP correlates with increased PRMT5 expression/activity, stratifying patients for PRMT5-targeted therapy",human tissue,,41959302,41959302:abstract_only
MTOR,NF1,High grade glioma,therapeutic target,1,abstract only,0,0,0,0,1,mTOR inhibitor rapamycin shows promising preclinical results,review,,20043723,20043723:abstract_only
MTOR,Not specified,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,mTOR inhibition for symptomatic optic nerve gliomas,review,,34406460,34406460:abstract_only
MTOR,NF2-SWN,Ependymoma,therapeutic target,1,abstract only,0,0,0,1,0,Everolimus (mTOR inhibitor) tested but discontinued due to toxicity,clinical trial,,38058737,38058737:full_text
MTOR,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,Upregulation of MAPK/TSC1/mTOR pathway; strong mTOR activation confirmed by 4E-BP1 phosphorylation,human tissue,,31258848,31258848:abstract_only
MTOR,Not specified,Non-optic LGG,therapeutic target,1,abstract only,0,0,0,0,1,mTORC1/2 kinase inhibition with TAK228 synergizes with MEK inhibition,cell line,,31841591,31841591:abstract_only
MTOR,Not specified,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,ATP-competitive active-site mTOR inhibitor,review,,33835000,33835000:abstract_only
MYB,Not specified,Non-optic LGG,driver,1,abstract only,0,0,0,0,1,Gene fusion (MYB::QKI) in angiocentric glioma,human tissue,,38195220,38195220:abstract_only
MYC,NF1,Gastrointestinal stromal tumor (GIST),modifier,1,abstract only,0,0,0,0,1,MYC amplification coamplified with MDM2 in recurrent high-grade GIST,human tissue,,41288319,41288319:abstract_only
NF1,NF1,Pulmonary disease,driver,1,abstract only,0,0,0,0,1,dysregulated tissue growth; underlying vasculopathy leading to plexogenic arteriopathy,human tissue,,17573495,17573495:abstract_only
NF1,NF1,Optic pathway glioma,driver,1,abstract only,0,0,0,0,1,"Germline mutations cause decreased neurofibromin, increased Ras signaling",review,,20043723,20043723:abstract_only
NF1,Not specified,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,Involved in cardiac and lymphatic development,mouse model,,25728762,25728762:abstract_only
NF1,NF1,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Loss drives peripheral nerve sheath tumors,review,,33588442,33588442:abstract_only
NF1,NF1,Non-optic LGG,driver,1,abstract only,0,0,0,0,1,NF1 loss-of-function drives pediatric low-grade glioma development,clinical trial,,40241281,40241281:abstract_only
NF1,NF1,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,"Loss of neurofibromin increases Ras activity in myeloid cells, promoting aneurysm formation",mouse model,,24370551,24370551:abstract_only
NF1,NF1,High grade glioma,driver,1,abstract only,0,0,0,0,1,Loss of neurofibromin causes hyperactive RAS signaling driving glioma growth and radioresistance,human tissue,,38714355,38714355:abstract_only
NF2,NF2-SWN,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Loss drives peripheral nerve sheath tumors,review,,33588442,33588442:abstract_only
NF2,Not specified,Ependymoma,driver,1,abstract only,0,0,0,0,1,Gene alterations in spinal ependymomas,human tissue,,34812989,34812989:abstract_only
NF2,SWN,Other,driver,1,abstract only,0,0,0,0,1,Loss of gene/protein function,review,,37937606,37937606:abstract_only
NF2,Not specified,Bone defects,driver,1,abstract only,0,0,0,0,1,Merlin scaffolds FAK to regulate Erk1/2 and PI3K/Akt signaling in osteoblasts,mouse model,,40075076,40075076:abstract_only
NF2,Not specified,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,Merlin component of TNIK/Merlin/YAP pathway in cardiac fibrosis,mouse model,,40332594,40332594:abstract_only
NF2,Not specified,Gastrointestinal stromal tumor (GIST),driver,1,abstract only,0,0,0,0,1,Interacts with CRB3 via FERM-binding domain to control perijunctional actomyosin contractility and AJC organization,mouse model,,41122968,41122968:abstract_only
NF2,Not specified,Non-vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Constitutive mutation predisposes to solitary tumors in young patients,human tissue,,28759666,28759666:abstract_only
NF2,Not specified,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Constitutive mutation predisposes to solitary tumors in young patients,human tissue,,28759666,28759666:abstract_only
NF2,NF2-SWN,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,Germline pathogenic variants; schwannoma predisposition,review,,31425178,31425178:abstract_only
NF2,NF2-SWN,Pulmonary disease,driver,1,abstract only,0,0,0,0,1,Decreased endothelial NF2 protein expression associated with pulmonary vascular remodeling,human tissue,,34285798,34285798:abstract_only
NFKB (complex),Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,NF-κB transcriptional programs drive mesenchymal-signature in glioblastoma,review,,30946477,30946477:abstract_only
NFKB (complex),NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Effector pathway of deregulated MIF-CD74 signaling in NF1 SCs,mouse model,,36134665,36134665:abstract_only
NGF,NF1,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,Neuroprotective agent preserving and restoring retinal ganglion cells,clinical trial,,37401302,37401302:abstract_only
NOTCH,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Notch signaling is activated upon PRC2 loss and is druggable via gamma-secretase inhibition in MPNST,cell line,,39620202,39620202:abstract_only
NRG1,NF1,Other,therapeutic target,1,abstract only,0,0,0,1,0,PRC2 represses NRG1; activation required for efficient remyelination after injury,mouse model,,30306639,30306639:full_text
NTRK2,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,"Fusions (KANK1::NTRK2, BCR::NTRK2) in gliomas",human tissue,,38195220,38195220:abstract_only
NTRK2,Not specified,Non-optic LGG,driver,1,abstract only,0,0,0,0,1,"Fusions (KANK1::NTRK2, BCR::NTRK2) in gliomas",human tissue,,38195220,38195220:abstract_only
ODC1,NF1,ANNUBP / atypical neurofibroma,biomarker,1,abstract only,0,0,0,0,1,ODC activity levels vary across peripheral nerve sheath tumor types; low-to-moderate levels may predict DFMO responsiveness,human tissue,,42677329,42677329:abstract_only
ODC1,NF1,Malignant peripheral nerve sheath tumor (MPNST),biomarker,1,abstract only,0,0,0,0,1,ODC activity levels vary across peripheral nerve sheath tumor types; low-to-moderate levels may predict DFMO responsiveness,human tissue,,42677329,42677329:abstract_only
ODC1,NF1,Plexiform neurofibroma,biomarker,1,abstract only,0,0,0,0,1,ODC activity levels vary across peripheral nerve sheath tumor types; low-to-moderate levels may predict DFMO responsiveness,human tissue,,42677329,42677329:abstract_only
OGN,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,"Downregulates NF2, activates mTOR and AKT signaling",cell line,,28923059,28923059:full_text
Oligodendrocyte differentiation (clemastine target),NF1,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,"Clemastine promotes oligodendrocyte generation and survival, alleviates carboplatin toxicity",mouse model,,42482124,42482124:abstract_only
PAK1/2,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,1,0,Direct Merlin binding; transmit proliferation/survival signals when Merlin absent,cell line,,39083549,39083549:full_text
PAK1/2,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,Direct Merlin binding; transmit proliferation/survival signals when Merlin absent,cell line,,39083549,39083549:full_text
PARP1,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,PARP inhibitor Olaparib combined with Selumetinib suppresses tumor growth in a human MPNST PDX mouse model.,mouse model,,42310314,42310314:abstract_only
PD-1/PD-L1,Not specified,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,PD-1/PD-L1 inhibitor pembrolizumab used as immunotherapeutic strategy for aggressive meningioma,review,,40787520,40787520:abstract_only
PDCD1,Not specified,High grade glioma,biomarker,1,abstract only,0,0,0,1,0,Checkpoint expression enriched in IFI44-high gliomas,computational,,41327009,41327009:full_text
PDCD1,Not specified,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,PD-1 inhibitors combined with radiation therapy in meningiomas,review,,36959063,36959063:abstract_only
PDCD1LG2,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,1,0,PD-L1 expressed on Schwann cells in Antoni B regions; regulates T-cell interaction,human tissue,,40140675,40140675:full_text
PDGFRA,Not specified,Gastrointestinal stromal tumor (GIST),driver,1,abstract only,0,0,0,0,1,Activating mutations are oncogenic mechanism in GISTs,human tissue,,20043105,20043105:abstract_only
PDGFRA,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Sorafenib targets PDGF receptor; failed in phase II clinical trial,clinical trial,,37677047,37677047:abstract_only
PDGFRA,NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Nilotinib (ABL1/KIT/PDGFRA inhibitor) reduced tumor growth in NF2-PNST models,mouse model,,28735458,28735458:abstract_only
PDLIM2,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Overexpressed in Merlin-deficient tumours; knockdown reduces proliferation,human tissue,,28126595,28126595:abstract_only
PDLIM2,NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Overexpressed in Merlin-deficient tumours; knockdown reduces proliferation,human tissue,,28126595,28126595:abstract_only
PEBP1,NF2-SWN,Ependymoma,modifier,1,abstract only,0,0,0,0,1,Associated with Merlin deficiency; appears to suppress tumor development in NF2-related tumors,review,,38928264,38928264:abstract_only
PEBP1,NF2-SWN,Meningioma,modifier,1,abstract only,0,0,0,0,1,Associated with Merlin deficiency; appears to suppress tumor development in NF2-related tumors,review,,38928264,38928264:abstract_only
PEBP1,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,Associated with Merlin deficiency; appears to suppress tumor development in NF2-related tumors,review,,38928264,38928264:abstract_only
PEBP1,NF2-SWN,Non-vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,"RKIP degradation is prevented by PRG-N-01 via blocking its interaction with TβR1, suppressing tumor growth",mouse model,,39731295,39731295:abstract_only
PI3K (family),NF1,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,Upstream of Akt; inhibition reduces Nf1-deficient astrocyte proliferation and tumor growth,mouse model,,25534823,25534823:abstract_only
PI3K (family),Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,Downstream effector of c-MET in HGF-induced EMT,cell line,,34408780,34408780:full_text
PI3K (family),NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,"Fimepinostat, a dual HDAC/PI3K inhibitor, induces p21-dependent cell cycle arrest and caspase-3 apoptosis in schwannoma cells.",cell line,,41898501,41898501:abstract_only
PI3K pathway,Not specified,Other,driver,1,abstract only,0,0,0,0,1,Recurrent mutations of PI3K pathway described in ECD,human tissue,,26637774,26637774:abstract_only
PI3K-AKT-MTOR axis,NF1,Other,modifier,1,abstract only,0,0,0,0,1,"Akt/mTOR/S6K/4E-BP signaling, coordinated with MEK/ERK, mediates neurofibromin's metabolic effects.",mouse model,,40766628,40766628:abstract_only
PI3K/AKT/GSK3β,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,Infiltrating macrophages induce stem cell transition via PI3K/AKT/GSK3β signaling,mouse model,,32111496,32111496:abstract_only
PI3KCD,Not specified,Other,driver,1,abstract only,0,0,0,0,1,Mutation identified in 1 JXG patient by whole-exome sequencing,human tissue,,26637774,26637774:abstract_only
PIK3CA,Not specified,Bone defects,driver,1,abstract only,0,0,0,0,1,PI3K catalytic p110 subunit signaling downstream of Nf2-FAK regulates osteogenesis,mouse model,,40075076,40075076:abstract_only
PIK3CA,Not specified,Hematologic malignancies,therapeutic target,1,abstract only,0,0,0,0,1,p110α isoform is essential effector of oncogenic KRAS in RAS-mutated myeloid leukemia,mouse model,,24569456,24569456:abstract_only
PLK1,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Cell cycle regulation at G2/M transition,cell line,,32266095,32266095:abstract_only
PLK1,NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Cell cycle regulation at G2/M transition,cell line,,32266095,32266095:abstract_only
POSTN,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,PN-specific and sustained injury response gene expression in SCs,mouse model,,36134665,36134665:abstract_only
PP2A,NF2-SWN,Meningioma,modifier,1,abstract only,0,0,0,0,1,Tumor suppressor phosphatase regulating PI3K-PKB/Akt-PRAS40-mTOR pathway,human tissue,,25012485,25012485:abstract_only
PP2A,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Reduced PP2A expression/activity in neurofibroma Schwann cells; restoring PP2A activity with FTY720 suppresses tumor growth,mouse model,,42116118,42116118:abstract_only
PRC2 (EED/SUZ12/EZH2),Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,Component upregulation and increased H3K27me3 modifications during tumorigenesis,mouse model,,31431463,31431463:abstract_only
PRKAR1A,Not specified,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Loss is key driver of nerve sheath neoplasms,review,,33588442,33588442:abstract_only
PRMT5,Not specified,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,"PRMT5 inhibition is synthetically lethal in MTAP-deleted cells via MTA accumulation, causing tumor regression",mouse model,,40553452,40553452:abstract_only
PRMT5,NF1,ANNUBP / atypical neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,"MTAP loss creates dependency on PRMT5; inhibition causes DNA damage, G2/M arrest, and suppresses growth of MTAP-deficient tumor cells",cell line,,41959302,41959302:abstract_only
PRMT5,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,"MTAP loss creates dependency on PRMT5; inhibition causes DNA damage, G2/M arrest, and suppresses growth of MTAP-deficient tumor cells",cell line,,41959302,41959302:abstract_only
PROS1,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Deregulated in NF1 Schwann cell populations; PROS1-AXL signaling,mouse model,,36134665,36134665:abstract_only
PTEN,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Loss of function genetic aberration,review,,24470531,24470531:abstract_only
PTK2 (FAK),NF2-SWN,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,FAK inhibition diminishes stiffness-induced proliferation and metalloproteinase expression,cell line,,39988022,39988022:abstract_only
PTK2 (FAK),Not specified,Bone defects,driver,1,abstract only,0,0,0,0,1,Interacts with Nf2 to mediate Erk1/2 and PI3K/Akt signaling,mouse model,,40075076,40075076:abstract_only
PTK2 (FAK),Not specified,Non-optic LGG,therapeutic target,1,abstract only,0,0,0,0,1,"FAK activation blocked by combination TAK228 and trametinib, reduces endothelial migration",cell line,,31841591,31841591:abstract_only
PTPN11,Not specified,Hematologic malignancies,driver,1,abstract only,0,0,0,0,1,Hyperactivation of Ras/MAPK pathway via SHP2 protein tyrosine phosphatase,mouse model,,36739480,36739480:abstract_only
PTPN11,NF1,Bone defects,therapeutic target,1,abstract only,0,0,0,0,1,"SHP2 inhibition combined with MEK inhibitor counteracts RAS-MAPK signaling, preventing fibrous nonunion in CPT model",mouse model,,38924432,38924432:abstract_only
PTPN11,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Upstream inhibition of RAS via SHP2 reduced downstream signaling and suppressed MPNST growth,mouse model,,39793045,39793045:abstract_only
PTPRS,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,Reduced PTPRS expression promotes EMT of Schwann cells via EGFR,cell line,,39094827,39094827:abstract_only
PU.1,Not specified,Hematologic malignancies,modifier,1,abstract only,0,0,0,0,1,USP22 regulates PU.1 protein stability and target gene expression; PU.1 overexpression rescues differentiation,mouse model,,29844011,29844011:abstract_only
RABL6A,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,1,0,Oncogenic GTPase promoting MPNST progression via CDK hyperactivation,review,,33456709,33456709:full_text
RAD18,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,"Non-catalytic function promoting proliferation; negatively regulates NF2, stabilizing YAP1",cell line,,42397741,42397741:abstract_only
RAD51,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,"Inhibition reduces DNA repair, enhances radiation toxicity in VS cells",cell line,,35230908,35230908:abstract_only
RAD51,NF1,High grade glioma,modifier,1,abstract only,0,0,0,0,1,"Mirdametinib decreases RAD51 foci and homologous recombination gene transcription, impairing DNA repair",cell line,,38714355,38714355:abstract_only
RAF1,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Sorafenib targets Raf kinase; failed in phase II clinical trial,clinical trial,,37677047,37677047:abstract_only
RAP2A,Not specified,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,Promotes myocardial fibrosis via TNIK/Merlin/YAP axis,mouse model,,40332594,40332594:abstract_only
RAS (pan),NF1,Bone defects,driver,1,abstract only,0,0,0,0,1,Neurofibromin inhibits RAS pathway; RAS regulates cellular proliferation and differentiation,review,,25917340,25917340:abstract_only
RAS (pan),NF1,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,RAS-MAPK pathway mutations cause developmental disease and cardiovascular defects,review,,35156148,35156148:abstract_only
RAS pathway,NF1,Other,therapeutic target,1,abstract only,0,0,0,0,1,Hyperactivated RAS pathway targeted by novel biological agents,review,,32564155,32564155:abstract_only
RAS pathway,NF1,Pain,therapeutic target,1,abstract only,0,0,0,0,1,Hyperactivated RAS pathway targeted by novel biological agents,review,,32564155,32564155:abstract_only
RAS pathway,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Hyperactivated RAS pathway targeted by novel biological agents,review,,32564155,32564155:abstract_only
RAS-MAPK pathway,NF1,Cardiovascular issues,therapeutic target,1,abstract only,0,0,0,0,1,Antineoplastic drugs targeting RAS-MAPK pathway for HCM treatment,review,,35156148,35156148:abstract_only
RAS/MAPK pathway,NF1,Other,therapeutic target,1,abstract only,0,0,0,1,0,Small-molecule inhibition to treat developmental defects in RASopathies,review,,23875798,23875798:full_text
RB/E2F,NF1,Malignant peripheral nerve sheath tumor (MPNST),modifier,1,abstract only,0,0,0,0,1,Downstream effector pathway regulated by HuR in MPNST cells,human tissue,,32315290,32315290:abstract_only
RB1,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,1,0,Tumor suppressor inactivated downstream of RABL6A signaling,review,,33456709,33456709:full_text
RB1,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,"Mutation in posterior fossa gliomas without H3F3A, IDH1, or TERT mutations",human tissue,,33606385,33606385:abstract_only
RB1,Not specified,Gastrointestinal stromal tumor (GIST),biomarker,1,abstract only,0,0,0,1,0,Loss detected in lipomatous tumors,human tissue,,37921028,37921028:full_text
RECQL4,NF1,High grade glioma,therapeutic target,1,abstract only,0,0,0,0,1,RECQL4 knockdown increases apoptosis and ATR-inhibitor susceptibility,cell line,,41317405,41317405:abstract_only
RECQL4,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,RECQL4 knockdown increases apoptosis and ATR-inhibitor susceptibility,cell line,,41317405,41317405:abstract_only
RET,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Cabozantinib inhibits RET and other tyrosine kinases; reduced PN size,clinical trial,,33442015,33442015:abstract_only
RIT1,Not specified,Other,driver,1,abstract only,0,0,0,1,0,Autochthonous expression drives aggressive lung cancer with 100% penetrance,mouse model,,41004338,41004338:full_text
RNF213,NF1,Pulmonary disease,modifier,1,abstract only,0,0,0,1,0,Genetic modifier of moyamoya syndrome in NF1 patients,human tissue,,39367156,39367156:full_text
ROR2,Not specified,Other,biomarker,1,abstract only,0,0,0,1,0,Expression predicts responsiveness to WNT5a-mimetic drugs,cell line,,36622276,36622276:full_text
ROS1,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,Gene fusion (GOPC::ROS1) in infant hemispheric gliomas,human tissue,,38195220,38195220:abstract_only
RRM2,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,"RRM2 inhibition suppresses AKT-mTOR signaling, reducing MPNST cell proliferation",cell line;human tissue,,37086345,37086345:abstract_only
SAG,Not specified,Other,driver,1,abstract only,0,0,0,1,0,RING component of SCF E3 ubiquitin ligase; promotes NF1 degradation to regulate RAS,mouse model,,22118770,22118770:full_text
SARM1,Not specified,Other,driver,1,abstract only,0,0,0,1,0,NAD hydrolase that depletes NAD and drives axonal degeneration,cell line,,41364765,41364765:full_text
SCF,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,Recruits mast cells to tumor microenvironment; tumor-derived SCF sustains neurofibroma tumorigenesis,mouse model,,29596064,29596064:abstract_only
SCN9A,NF1,Pain,modifier,1,abstract only,0,0,0,1,0,NaV1.7 tetrodotoxin-sensitive voltage-gated sodium channel dysregulated through CRMP2-neurofibromin effects in Nf1-edited nociceptors,mouse model,,29655575,29655575:full_text
SDH,NF1,Gastrointestinal stromal tumor (GIST),driver,1,abstract only,0,0,0,0,1,Altered expression/mutation causally associated with GIST development; induction of aberrant DNA methylation,human tissue,,29441367,29441367:abstract_only
SERPINB4,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Loss of function by deletion in 100% of patients,human tissue,,33831431,33831431:abstract_only
SETD2,Not specified,Hematologic malignancies,modifier,1,abstract only,0,0,0,0,1,"Setd2 loss reduces H3K36me3, cooperates with Kras mutation to shorten latency and enhance proliferation",mouse model,,40755378,40755378:abstract_only
SFK members,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,SFK activation independent of mTORC1/2,cell line,,32144278,32144278:full_text
SGK1,NF2-SWN,Meningioma,driver,1,abstract only,0,0,0,1,0,mTORC1 and mTORC2-specific SGK1 constitutively activated,cell line,,32144278,32144278:full_text
SHH,Not specified,Meningioma,therapeutic target,1,abstract only,0,0,0,1,0,sonic hedgehog signaling inhibition,review,,36181606,36181606:full_text
SHH,NF1,Other,therapeutic target,1,abstract only,0,0,0,1,0,PRC2 represses SHH; activation accompanies loss of H3K27 methylation during nerve repair,mouse model,,30306639,30306639:full_text
SHH,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,"Sonic Hedgehog signaling transcriptionally activated in PRC2-deficient Schwann cells, implicated in MPNST pathogenesis",cell line,,39620202,39620202:abstract_only
SMARCB1,Not specified,Meningioma,driver,1,abstract only,0,0,0,0,1,Constitutive mutation predisposes to solitary tumors in young patients,human tissue,,28759666,28759666:abstract_only
SMARCB1,Not specified,Non-vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Constitutive mutation predisposes to solitary tumors in young patients,human tissue,,28759666,28759666:abstract_only
SMARCB1,Not specified,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Constitutive mutation predisposes to solitary tumors in young patients,human tissue,,28759666,28759666:abstract_only
SMARCB1,SWN,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Germline pathogenic variants; schwannomatosis predisposition,review,,31425178,31425178:abstract_only
SMARCB1,SWN,Other,driver,1,abstract only,0,0,0,1,0,Tumor suppressor; inactivating mutations responsible for schwannomatosis,review,,34072574,34072574:full_text
SMARCE1,Not specified,Meningioma,driver,1,abstract only,0,0,0,0,1,Constitutive mutation predisposes to solitary meningioma in young patients,human tissue,,28759666,28759666:abstract_only
